,index,component,part,timestamp,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,erroneous
126,126,10.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,26.0,0.0
127,127,4.0,2.0,7.0,1.0,0.0,0.0,0.0,12.0,27.0,0.0
128,128,9.0,2.0,7.0,1.0,0.0,0.0,0.0,12.0,27.0,0.0
129,129,8.0,4.0,7.0,1.0,0.0,0.0,0.0,12.0,26.0,0.0
130,130,10.0,4.0,7.0,1.0,0.0,0.0,0.0,12.0,26.0,0.0
131,131,1.0,4.0,7.0,1.0,0.0,0.0,0.0,12.0,26.0,0.0
132,132,10.0,4.0,7.0,1.0,0.0,0.0,0.0,12.0,26.0,0.0
133,133,7.0,6.0,7.0,0.0,0.0,0.0,0.0,-104.0,28.0,0.0
134,134,7.0,6.0,7.0,0.0,0.0,0.0,0.0,-104.0,28.0,0.0
135,135,5.0,6.0,7.0,0.0,0.0,0.0,0.0,-104.0,28.0,0.0
136,136,7.0,6.0,7.0,0.0,0.0,0.0,0.0,-104.0,28.0,0.0
137,137,11.0,6.0,7.0,0.0,0.0,0.0,0.0,-104.0,28.0,0.0
138,138,11.0,6.0,7.0,0.0,0.0,0.0,0.0,-104.0,28.0,0.0
139,139,4.0,2.0,7.0,1.0,0.0,0.0,0.0,-104.0,29.0,0.0
140,140,9.0,2.0,7.0,1.0,0.0,0.0,0.0,-104.0,29.0,0.0
141,141,11.0,2.0,7.0,1.0,0.0,0.0,0.0,94.0,30.0,0.0
142,142,11.0,2.0,7.0,1.0,0.0,0.0,0.0,94.0,30.0,0.0
143,143,10.0,1.0,6.0,1.0,0.0,0.0,0.0,94.0,25.0,0.0
144,144,11.0,1.0,6.0,1.0,0.0,0.0,0.0,94.0,31.0,0.0
145,145,12.0,1.0,8.0,1.0,0.0,0.0,0.0,97.0,29.0,0.0
146,146,6.0,2.0,7.0,0.0,0.0,0.0,0.0,97.0,29.0,0.0
147,147,3.0,2.0,7.0,1.0,0.0,0.0,0.0,97.0,29.0,0.0
148,148,6.0,6.0,7.0,0.0,0.0,0.0,0.0,99.0,28.0,0.0
149,149,6.0,6.0,7.0,0.0,0.0,0.0,0.0,99.0,28.0,0.0
150,150,7.0,6.0,7.0,0.0,0.0,0.0,0.0,99.0,28.0,0.0
151,151,7.0,6.0,7.0,0.0,0.0,0.0,0.0,99.0,28.0,0.0
152,152,5.0,6.0,7.0,0.0,0.0,0.0,0.0,99.0,28.0,0.0
153,153,7.0,6.0,7.0,0.0,0.0,0.0,0.0,99.0,28.0,0.0
154,154,4.0,2.0,7.0,1.0,0.0,0.0,0.0,99.0,29.0,0.0
155,155,9.0,2.0,7.0,1.0,0.0,0.0,0.0,99.0,29.0,0.0
156,156,8.0,3.0,7.0,0.0,0.0,0.0,0.0,120.0,32.0,0.0
157,157,8.0,3.0,7.0,0.0,0.0,0.0,0.0,120.0,32.0,0.0
